yyyymm,bsi,pmi,ext,cpi,ppi,m2,pre,
2021-04,2021-04-29,2021-05-04,2021-05-14,2021-05-04,2021-05-21,2021-05-13,2021-05-31,
2021-03,2021-03-31,2021-04-02,2021-04-14,2021-04-02,2021-04-21,2021-04-13,2021-04-30,
2021-02,2021-02-24,2021-03-02,2021-03-16,2021-03-04,2021-03-24,2021-03-18,2021-03-31,
2021-01,2021-01-28,2021-02-02,2021-02-16,2021-02-02,2021-02-19,2021-02-17,2021-03-02,
2020-12,2020-12-30,2021-01-06,2021-01-14,2020-12-31,2021-01-21,2021-01-13,2021-01-29,
2020-11,2020-11-25,2020-12-02,2020-12-16,2020-12-02,2020-12-22,2020-12-15,2020-12-30,
2020-10,2020-10-29,2020-11-03,2020-11-12,2020-11-03,2020-11-20,2020-11-13,2020-11-30,
2020-09,2020-09-29,2020-10-02,2020-10-16,2020-10-06,2020-10-21,2020-10-15,2020-10-30,
2020-08,2020-08-26,2020-09-02,2020-09-15,2020-09-02,2020-09-22,2020-09-11,2020-09-29,
2020-07,2020-07-30,2020-08-04,2020-08-14,2020-08-04,2020-08-21,2020-08-13,2020-08-31,
2020-06,2020-06-30,2020-07-02,2020-07-15,2020-07-02,2020-07-21,2020-07-15,2020-07-31,
2020-05,2020-05-27,2020-06-02,2020-06-12,2020-06-02,2020-06-23,2020-06-10,2020-06-30,
2020-04,2020-04-29,2020-05-02,2020-05-15,2020-05-04,2020-05-21,2020-05-13,2020-05-29,
2020-03,2020-03-31,2020-04-02,2020-04-14,2020-04-02,2020-04-22,2020-04-10,2020-04-29,
2020-02,2020-02-26,2020-03-03,2020-03-13,2020-03-03,2020-03-20,2020-03-17,2020-03-31,
2020-01,2020-01-30,2020-02-04,2020-02-14,2020-02-04,2020-02-20,2020-02-14,2020-02-28,
2019-12,2019-12-31,2020-01-04,2020-01-15,2019-12-31,2020-01-21,2020-01-16,2020-01-31,
2019-11,2019-11-28,2019-12-03,2019-12-13,2019-12-02,2019-12-20,2019-12-11,2019-12-30,
2019-10,2019-10-29,2019-11-02,2019-11-14,2019-11-01,2019-11-20,2019-11-13,2019-11-29,
2019-09,2019-10-01,2019-10-02,2019-10-16,2019-10-01,2019-10-22,2019-10-15,2019-10-31,
2019-08,2019-08-29,2019-09-04,2019-09-18,2019-09-03,2019-09-24,2019-09-19,2019-09-30,
2019-07,2019-07-30,2019-08-02,2019-08-14,2019-08-01,2019-08-21,2019-08-13,2019-08-30,
